2025-10-30 00:58:18,005 [INFO] extractor.entities: Progress: 13100/28353 files processed, 3208286 entities extracted
2025-10-30 00:58:21,829 [INFO] extractor.entities: Progress: 13200/28353 files processed, 3231523 entities extracted
2025-10-30 00:58:25,719 [INFO] extractor.entities: Progress: 13300/28353 files processed, 3254534 entities extracted
2025-10-30 00:58:29,597 [INFO] extractor.entities: Progress: 13400/28353 files processed, 3276902 entities extracted
2025-10-30 00:58:33,544 [INFO] extractor.entities: Progress: 13500/28353 files processed, 3300474 entities extracted
2025-10-30 00:58:37,436 [INFO] extractor.entities: Progress: 13600/28353 files processed, 3325725 entities extracted
2025-10-30 00:58:41,510 [INFO] extractor.entities: Progress: 13700/28353 files processed, 3350731 entities extracted
2025-10-30 00:58:45,692 [INFO] extractor.entities: Progress: 13800/28353 files processed, 3375534 entities extracted
2025-10-30 00:58:50,228 [INFO] extractor.entities: Progress: 13900/28353 files processed, 3405186 entities extracted
2025-10-30 00:58:54,796 [INFO] extractor.entities: Progress: 14000/28353 files processed, 3428066 entities extracted
2025-10-30 00:58:58,452 [INFO] extractor.entities: Progress: 14100/28353 files processed, 3449604 entities extracted
2025-10-30 00:59:02,280 [INFO] extractor.entities: Progress: 14200/28353 files processed, 3473469 entities extracted
2025-10-30 00:59:06,232 [INFO] extractor.entities: Progress: 14300/28353 files processed, 3499550 entities extracted
2025-10-30 00:59:10,184 [INFO] extractor.entities: Progress: 14400/28353 files processed, 3521994 entities extracted
2025-10-30 00:59:14,386 [INFO] extractor.entities: Progress: 14500/28353 files processed, 3546109 entities extracted
2025-10-30 00:59:18,478 [INFO] extractor.entities: Progress: 14600/28353 files processed, 3573816 entities extracted
2025-10-30 00:59:22,231 [INFO] extractor.entities: Progress: 14700/28353 files processed, 3596894 entities extracted
2025-10-30 00:59:26,360 [INFO] extractor.entities: Progress: 14800/28353 files processed, 3620509 entities extracted
2025-10-30 00:59:30,312 [INFO] extractor.entities: Progress: 14900/28353 files processed, 3643450 entities extracted
2025-10-30 00:59:33,983 [INFO] extractor.entities: Progress: 15000/28353 files processed, 3666532 entities extracted
2025-10-30 00:59:38,115 [INFO] extractor.entities: Progress: 15100/28353 files processed, 3690458 entities extracted
2025-10-30 00:59:42,368 [INFO] extractor.entities: Progress: 15200/28353 files processed, 3712353 entities extracted
2025-10-30 00:59:46,310 [INFO] extractor.entities: Progress: 15300/28353 files processed, 3734795 entities extracted
2025-10-30 00:59:50,338 [INFO] extractor.entities: Progress: 15400/28353 files processed, 3763822 entities extracted
2025-10-30 00:59:54,365 [INFO] extractor.entities: Progress: 15500/28353 files processed, 3787148 entities extracted
2025-10-30 00:59:58,330 [INFO] extractor.entities: Progress: 15600/28353 files processed, 3810790 entities extracted
2025-10-30 01:00:02,529 [INFO] extractor.entities: Progress: 15700/28353 files processed, 3835318 entities extracted
2025-10-30 01:00:06,481 [INFO] extractor.entities: Progress: 15800/28353 files processed, 3859410 entities extracted
2025-10-30 01:00:10,385 [INFO] extractor.entities: Progress: 15900/28353 files processed, 3882725 entities extracted
2025-10-30 01:00:14,716 [INFO] extractor.entities: Progress: 16000/28353 files processed, 3908320 entities extracted
2025-10-30 01:00:18,532 [INFO] extractor.entities: Progress: 16100/28353 files processed, 3930366 entities extracted
2025-10-30 01:00:22,556 [INFO] extractor.entities: Progress: 16200/28353 files processed, 3956784 entities extracted
2025-10-30 01:00:26,506 [INFO] extractor.entities: Progress: 16300/28353 files processed, 3978892 entities extracted
2025-10-30 01:00:30,917 [INFO] extractor.entities: Progress: 16400/28353 files processed, 4004958 entities extracted
2025-10-30 01:00:35,000 [INFO] extractor.entities: Progress: 16500/28353 files processed, 4027324 entities extracted
2025-10-30 01:00:39,325 [INFO] extractor.entities: Progress: 16600/28353 files processed, 4052240 entities extracted
2025-10-30 01:00:43,616 [INFO] extractor.entities: Progress: 16700/28353 files processed, 4077075 entities extracted
2025-10-30 01:00:47,985 [INFO] extractor.entities: Progress: 16800/28353 files processed, 4102948 entities extracted
2025-10-30 01:00:51,700 [INFO] extractor.entities: Progress: 16900/28353 files processed, 4124546 entities extracted
2025-10-30 01:00:55,543 [INFO] extractor.entities: Progress: 17000/28353 files processed, 4146831 entities extracted
2025-10-30 01:00:59,732 [INFO] extractor.entities: Progress: 17100/28353 files processed, 4179194 entities extracted
2025-10-30 01:01:03,856 [INFO] extractor.entities: Progress: 17200/28353 files processed, 4203396 entities extracted
2025-10-30 01:01:08,011 [INFO] extractor.entities: Progress: 17300/28353 files processed, 4228980 entities extracted
2025-10-30 01:01:12,075 [INFO] extractor.entities: Progress: 17400/28353 files processed, 4251769 entities extracted
2025-10-30 01:01:16,075 [INFO] extractor.entities: Progress: 17500/28353 files processed, 4275355 entities extracted
2025-10-30 01:01:19,965 [INFO] extractor.entities: Progress: 17600/28353 files processed, 4299342 entities extracted
2025-10-30 01:01:23,812 [INFO] extractor.entities: Progress: 17700/28353 files processed, 4323085 entities extracted
2025-10-30 01:01:27,528 [INFO] extractor.entities: Progress: 17800/28353 files processed, 4346937 entities extracted
2025-10-30 01:01:31,439 [INFO] extractor.entities: Progress: 17900/28353 files processed, 4369126 entities extracted
2025-10-30 01:01:35,198 [INFO] extractor.entities: Progress: 18000/28353 files processed, 4393343 entities extracted
2025-10-30 01:01:39,292 [INFO] extractor.entities: Progress: 18100/28353 files processed, 4416382 entities extracted
2025-10-30 01:01:42,927 [INFO] extractor.entities: Progress: 18200/28353 files processed, 4439227 entities extracted
2025-10-30 01:01:46,882 [INFO] extractor.entities: Progress: 18300/28353 files processed, 4462598 entities extracted
2025-10-30 01:01:50,801 [INFO] extractor.entities: Progress: 18400/28353 files processed, 4487260 entities extracted
2025-10-30 01:01:54,817 [INFO] extractor.entities: Progress: 18500/28353 files processed, 4509465 entities extracted
2025-10-30 01:01:58,727 [INFO] extractor.entities: Progress: 18600/28353 files processed, 4531115 entities extracted
2025-10-30 01:02:02,655 [INFO] extractor.entities: Progress: 18700/28353 files processed, 4553593 entities extracted
2025-10-30 01:02:06,443 [INFO] extractor.entities: Progress: 18800/28353 files processed, 4576091 entities extracted
2025-10-30 01:02:10,568 [INFO] extractor.entities: Progress: 18900/28353 files processed, 4600731 entities extracted
2025-10-30 01:02:14,608 [INFO] extractor.entities: Progress: 19000/28353 files processed, 4624904 entities extracted
2025-10-30 01:02:18,668 [INFO] extractor.entities: Progress: 19100/28353 files processed, 4649001 entities extracted
2025-10-30 01:02:22,462 [INFO] extractor.entities: Progress: 19200/28353 files processed, 4674783 entities extracted
2025-10-30 01:02:26,912 [INFO] extractor.entities: Progress: 19300/28353 files processed, 4698157 entities extracted
2025-10-30 01:02:30,627 [INFO] extractor.entities: Progress: 19400/28353 files processed, 4720193 entities extracted
2025-10-30 01:02:34,712 [INFO] extractor.entities: Progress: 19500/28353 files processed, 4744961 entities extracted
2025-10-30 01:02:38,503 [INFO] extractor.entities: Progress: 19600/28353 files processed, 4768651 entities extracted
2025-10-30 01:02:42,465 [INFO] extractor.entities: Progress: 19700/28353 files processed, 4790884 entities extracted
2025-10-30 01:02:46,346 [INFO] extractor.entities: Progress: 19800/28353 files processed, 4813968 entities extracted
2025-10-30 01:02:50,126 [INFO] extractor.entities: Progress: 19900/28353 files processed, 4836221 entities extracted
2025-10-30 01:02:54,302 [INFO] extractor.entities: Progress: 20000/28353 files processed, 4863907 entities extracted
2025-10-30 01:02:58,382 [INFO] extractor.entities: Progress: 20100/28353 files processed, 4886184 entities extracted
2025-10-30 01:03:02,467 [INFO] extractor.entities: Progress: 20200/28353 files processed, 4913309 entities extracted
2025-10-30 01:03:06,331 [INFO] extractor.entities: Progress: 20300/28353 files processed, 4936984 entities extracted
2025-10-30 01:03:10,178 [INFO] extractor.entities: Progress: 20400/28353 files processed, 4958875 entities extracted
2025-10-30 01:03:13,928 [INFO] extractor.entities: Progress: 20500/28353 files processed, 4981354 entities extracted
2025-10-30 01:03:18,232 [INFO] extractor.entities: Progress: 20600/28353 files processed, 5005277 entities extracted
2025-10-30 01:03:22,011 [INFO] extractor.entities: Progress: 20700/28353 files processed, 5028180 entities extracted
2025-10-30 01:03:25,827 [INFO] extractor.entities: Progress: 20800/28353 files processed, 5050815 entities extracted
2025-10-30 01:03:29,845 [INFO] extractor.entities: Progress: 20900/28353 files processed, 5072697 entities extracted
2025-10-30 01:03:33,740 [INFO] extractor.entities: Progress: 21000/28353 files processed, 5097397 entities extracted
2025-10-30 01:03:37,804 [INFO] extractor.entities: Progress: 21100/28353 files processed, 5121858 entities extracted
2025-10-30 01:03:41,592 [INFO] extractor.entities: Progress: 21200/28353 files processed, 5143430 entities extracted
2025-10-30 01:03:45,551 [INFO] extractor.entities: Progress: 21300/28353 files processed, 5166287 entities extracted
2025-10-30 01:03:49,740 [INFO] extractor.entities: Progress: 21400/28353 files processed, 5194576 entities extracted
2025-10-30 01:03:53,498 [INFO] extractor.entities: Progress: 21500/28353 files processed, 5220411 entities extracted
2025-10-30 01:03:57,374 [INFO] extractor.entities: Progress: 21600/28353 files processed, 5242734 entities extracted
2025-10-30 01:04:01,538 [INFO] extractor.entities: Progress: 21700/28353 files processed, 5267776 entities extracted
2025-10-30 01:04:05,263 [INFO] extractor.entities: Progress: 21800/28353 files processed, 5289990 entities extracted
2025-10-30 01:04:09,248 [INFO] extractor.entities: Progress: 21900/28353 files processed, 5313949 entities extracted
2025-10-30 01:04:13,966 [INFO] extractor.entities: Progress: 22000/28353 files processed, 5341769 entities extracted
2025-10-30 01:04:18,063 [INFO] extractor.entities: Progress: 22100/28353 files processed, 5367686 entities extracted
2025-10-30 01:04:22,109 [INFO] extractor.entities: Progress: 22200/28353 files processed, 5393957 entities extracted
2025-10-30 01:04:26,033 [INFO] extractor.entities: Progress: 22300/28353 files processed, 5416622 entities extracted
2025-10-30 01:04:29,958 [INFO] extractor.entities: Progress: 22400/28353 files processed, 5444550 entities extracted
2025-10-30 01:04:33,745 [INFO] extractor.entities: Progress: 22500/28353 files processed, 5467708 entities extracted
2025-10-30 01:04:38,203 [INFO] extractor.entities: Progress: 22600/28353 files processed, 5497103 entities extracted
2025-10-30 01:04:42,239 [INFO] extractor.entities: Progress: 22700/28353 files processed, 5520023 entities extracted
2025-10-30 01:04:46,059 [INFO] extractor.entities: Progress: 22800/28353 files processed, 5542842 entities extracted
